name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
"WEISS, TED",H,House,DEM,DEMOCRATIC PARTY,NY,08,8,"{20,20,20,17,17,17,17,17,08}","{1976,1978,1980,1982,1984,1986,1988,1990,1992}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1976-03-26,1991-10-22,1990-03-16,H6NY20050,1992
"TASINI, JONATHAN",H,House,DEM,DEMOCRATIC PARTY,NY,15,15,{15},{2010},"{2010,2012}",P,C,Challenger,2011-02-24 10:53:12,2010-05-21,2010-05-21,2010-05-21,H0NY15137,2010
"EMERY, JILL HOUGHTON",H,House,REP,REPUBLICAN PARTY,NY,34,34,{34},{1984},"{1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1984-05-07,1984-05-07,1984-05-07,H4NY84010,1984
"COOK, JEFFERY KENNETH",H,House,REP,REPUBLICAN PARTY,NY,19,19,{19},{2006},{2006},C,C,Challenger,2009-04-29 00:00:00,2005-09-13,2005-09-19,2005-09-19,H6NY19128,2006
"IRISH, DOUGLAS K",H,House,REP,REPUBLICAN PARTY,NY,22,22,{22},{1998},{1998},N,O,Open seat,2002-04-03 00:00:00,1998-06-24,1998-06-24,1998-06-24,H8NY22060,1998
"RECCHIA, DOMENIC M JR",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,"{13,11}","{2008,2014}","{2008,2010,2014,2016}",P,C,Challenger,2015-04-02 15:52:44,2007-10-10,2013-02-26,2013-02-26,H8NY13069,2014
"SERRANO, JOSE E.",H,House,DEM,DEMOCRATIC PARTY,NY,15,15,"{18,16,16,16,16,16,16,16,16,16,16,15,15,15,15}","{1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-03-02 21:00:15,1990-01-23,2017-01-09,2017-01-09,H0NY18065,2018
"PERKINS, BILL",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{2016},{2016},C,O,Open seat,2016-01-19 21:00:38,2015-08-12,2015-08-12,2015-08-12,H6NY13121,2016
"JOHNSON, JOYCE STANLEY",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,"{15,13}","{2010,2012}","{2010,2012,2014,2016,2018}",N,C,Challenger,2012-08-10 22:07:37,2010-04-20,2012-03-07,2012-02-29,H0NY15129,2012
"PETERS, KISUN JMOOJA",H,House,DEM,DEMOCRATIC PARTY,NY,31,31,{31},{2000},"{2000,2002}",N,C,Challenger,2002-04-12 00:00:00,2000-08-24,2000-08-24,2000-08-24,H0NY31035,2000
"KENNEDY, ELLEN T",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,{30},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1993-12-30,1993-12-30,1993-12-30,H4NY30039,1994
"COBB, TEDRA LYNNE MS.",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-03,2017-07-03,2017-07-03,H8NY21245,2018
"SWARTS, W.L.",H,House,IND,INDEPENDENT,NY,23,23,{23},{2006},{2006},N,C,Challenger,2009-04-29 00:00:00,2005-07-11,2005-07-11,2005-07-11,H6NY23500,2006
"COLON, ELIZABETH",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{1992},"{1992,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1992-07-13,1992-07-13,1992-07-13,H2NY12072,1992
"PIERCE, JIM",H,House,REP,REPUBLICAN PARTY,NY,31,31,"{31,31}","{1998,2000}","{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1997-06-09,1999-12-21,1999-12-21,H8NY31061,2000
"MENG, GRACE",H,House,DEM,DEMOCRATIC PARTY,NY,06,6,"{06,06,06,06}","{2012,2014,2016,2018}","{2012,2014,2016,2018}",C,I,Incumbent,2017-02-27 21:01:34,2012-03-21,2016-12-21,2016-12-21,H2NY06116,2018
"HORT, PETER",H,House,REP,REPUBLICAN PARTY,NY,08,8,{08},{2004},"{2004,2006,2008,2010}",P,C,Challenger,2005-03-02 00:00:00,2003-05-15,2003-05-15,2003-05-15,H4NY08043,2004
"POLICARPIO, GONZALO MANALO",H,House,REP,REPUBLICAN PARTY,NY,05,5,"{05,05}","{2004,2008}","{2004,2008,2010}",C,C,Challenger,2008-07-31 00:00:00,2003-07-19,2008-05-14,2008-05-14,H4NY05064,2008
"VASQUEZ, STEVEN",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{2008},"{2008,2010}",C,C,Challenger,2008-07-24 00:00:00,2008-06-02,2008-06-02,2008-06-02,H8NY21211,2008
"WASSERMAN, LEE",H,House,LBL,LIBERAL PARTY,NY,21,21,{21},{1996},"{1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1995-12-06,1995-12-06,1995-12-06,H6NY21116,1996
"DIETL, RICHARD A",H,House,REP,REPUBLICAN PARTY,NY,06,6,{06},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-05-27,1986-05-27,1986-05-27,H6NY06083,1986
"BUHRMASTER, JAMES R",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{2008},"{2008,2010}",C,C,Challenger,2008-04-21 00:00:00,2008-03-26,2008-03-26,2008-03-26,H8NY21187,2008
"PLUMB, JOHN",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2015-07-09,2016-09-30,2016-09-30,H6NY23518,2016
"HIMELEIN, LARRY M",H,House,DEM,DEMOCRATIC PARTY,NY,34,34,{34},{1986},"{1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1986-07-11,1986-07-11,1986-07-11,H6NY34077,1986
"MCNULTY, MICHAEL R.",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,"{23,23,21,21,21,21,21,21,21,21,21}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010}",C,I,Incumbent,2007-10-16 00:00:00,1988-07-26,2007-08-10,2007-08-10,H8NY23084,2008
"BARBARO, FRANK",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{2004},"{2004,2006}",P,C,Challenger,2005-03-02 00:00:00,2004-02-20,2004-02-20,2004-02-20,H4NY13043,2004
"VELAZQUEZ, PEDRO L",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{1994},"{1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1994-07-12,1994-07-12,1994-07-12,H4NY12029,1994
"MARTINELLI, PETER JOSEPH",H,House,DEM,DEMOCRATIC PARTY,NY,31,31,{31},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-07-27,1984-07-27,1984-07-27,H4NY31011,1984
"OROS, GEORGE",H,House,REP,REPUBLICAN PARTY,NY,19,19,{19},{2008},"{2008,2010,2012,2014,2016}",P,C,Challenger,2008-04-21 22:55:05,2008-02-15,2008-02-27,2008-02-27,H8NY19157,2008
"DELIA, MICHAEL",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{1988},"{1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1988-05-09,1988-05-09,1988-05-09,H8NY22029,1988
"HIGGINS, BRIAN",H,House,DEM,DEMOCRATIC PARTY,NY,26,26,"{27,27,27,27,26,26,26,26}","{2004,2006,2008,2010,2012,2014,2016,2018}","{2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-04-24 21:06:22,2004-05-17,2017-04-19,2017-04-19,H4NY27076,2018
"ABZUG, BELLA S.",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,{18},{1978},"{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-01-31,1978-01-31,1978-01-31,H8NY18134,1978
"CROWLEY, JOSEPH",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,"{07,07,07,07,07,07,07,14,14,14,14}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2018-01-12 21:08:03,1998-09-23,2018-01-12,2018-01-12,H8NY07046,2018
"FERNANDEZ, JOSE LUIS",H,House,REP,REPUBLICAN PARTY,NY,07,7,{07},{2014},{2014},C,C,Challenger,2014-01-23 22:14:05,2013-11-27,2013-11-27,2013-11-27,H4NY07110,2014
"ROCQUE, MICHAEL R",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2008},"{2008,2010}",C,C,Challenger,2008-01-07 00:00:00,2007-04-17,2007-07-16,2007-07-16,H8NY20114,2008
"HALL, JOHN JOSEPH",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,"{19,19,19}","{2006,2008,2010}","{2006,2008,2010,2012,2014}",P,C,Challenger,2011-02-24 10:53:11,2005-11-02,2010-08-13,2010-08-13,H6NY19144,2010
"ROSE, MAX",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2017-10-24 21:01:05,2017-08-02,2017-08-02,2017-08-02,H8NY11113,2018
"MCHUGH, JOHN M",H,House,REP,REPUBLICAN PARTY,NY,23,23,"{24,24,24,24,23,23,23,23,23}","{1992,1994,1996,2000,2002,2004,2006,2008,2010}","{1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",P,,,2011-02-24 10:53:11,1992-07-06,2009-01-12,2009-01-12,H2NY24036,2010
"LENT, NORMAN F",H,House,REP,REPUBLICAN PARTY,NY,04,4,"{04,04,04,04,04,04,04,04,04}","{1976,1978,1980,1982,1984,1986,1988,1990,1992}","{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1976-03-18,1991-04-19,1991-04-19,H6NY04039,1992
"ROSENTHAL, PHILIP JEFFREY DR.",H,House,REP,REPUBLICAN PARTY,NY,10,10,{10},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2016-02-09,2016-02-09,2016-02-09,H6NY10119,2016
"RHODES, GARETH THOMAS",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-05,2017-05-05,2017-05-05,H8NY19199,2018
"LAW, ROBERT",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,{10},{1994},"{1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1994-07-20,1994-07-20,1994-07-20,H4NY10031,1994
"LINDNER, PETE",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{2016},{2016},C,C,Challenger,2016-06-27 20:58:36,2016-02-16,2016-02-16,2016-02-16,H6NY12131,2016
"GARNER, JAMES A",H,House,REP,REPUBLICAN PARTY,NY,04,4,{04},{2004},"{2004,2006,2008,2010,2012,2014,2016}",P,C,Challenger,2013-04-26 09:04:30,2003-10-24,2003-10-24,2003-10-24,H4NY04059,2004
"PAXON, L WILLIAM",H,House,REP,REPUBLICAN PARTY,NY,27,27,"{31,31,27,27,27,27}","{1988,1990,1992,1994,1996,1998}","{1988,1990,1992,1994,1996,1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1987-08-03,1997-01-10,1997-01-10,H8NY31012,1998
"ROBERTS, LESLIE FRANCIS",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,{24},{2006},{2006},C,O,Open seat,2006-07-21 00:00:00,2005-12-16,2005-12-19,2005-12-19,H6NY24110,2006
"FUENTES-PADILLA, CHRISTOPHER ROBBIN MR.",H,House,LIB,LIBERTARIAN PARTY,NY,06,6,{06},{2022},{2018},N,,,2017-08-28 20:55:19,2017-08-28,2017-08-28,2017-08-28,H2NY06165,2022
"LALOR, KIERAN MICHAEL",H,House,REP,REPUBLICAN PARTY,NY,19,19,{19},{2008},"{2008,2010,2012,2014,2016}",P,C,Challenger,2008-02-13 22:08:15,2007-12-07,2007-12-07,2007-12-07,H8NY19140,2008
"BARRON, CHARLES",H,House,DEM,DEMOCRATIC PARTY,NY,08,8,"{10,08}","{2006,2012}","{2006,2008,2010,2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2006-03-20,2012-04-10,2012-04-10,H6NY00060,2012
"MEYER, J EDWARD",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,{20},{1984},"{1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1984-03-15,1984-03-15,1984-03-15,H4NY20048,1984
"CRAWFORD, JERRY",H,House,RTL,RIGHT TO LIFE,NY,28,28,{28},{1998},"{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1997-07-10,1997-07-22,1997-07-22,H8NY28059,1998
"FIUMEFREDDO, PETER",H,House,REP,REPUBLICAN PARTY,NY,17,17,{17},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1997-10-29,1997-10-29,1997-10-29,H8NY17078,1998
"CINQUEMANI, JOSEPH",H,House,REP,REPUBLICAN PARTY,NY,07,7,{07},{2004},"{2004,2006}",P,C,Challenger,2005-03-02 00:00:00,2003-11-10,2003-12-03,2003-11-10,H4NY07052,2004
"BREDES, NORA LOUISE",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{1996},"{1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1996-06-14,1996-06-14,1996-06-14,H6NY01092,1996
"MELSON, BOYD",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-04-17,2017-04-17,2017-04-17,H8NY11063,2018
"MARTZ, EMILY",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-13,2017-07-13,2017-07-13,H8NY21260,2018
"GERSHON, PERRY",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{2018},{2018},C,C,Challenger,2017-10-17 22:53:08,2017-07-15,2017-07-15,2017-07-15,H8NY01155,2018
"FINLEY, JOSEPH P",H,House,REP,REPUBLICAN PARTY,NY,05,5,{05},{2002},"{2002,2004}",P,C,Challenger,2002-07-24 00:00:00,2002-06-04,2003-04-10,2002-06-24,H2NY05068,2002
"GRIFFITH, EMLYN IRVING",H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{1982},{1982},C,O,Open seat,2002-03-30 00:00:00,1982-08-27,1982-08-27,1982-08-27,H2NY25025,1982
"DOUKAS, PETER G",H,House,DEM,DEMOCRATIC PARTY,NY,15,15,{15},{1988},"{1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1988-06-30,1988-06-30,1988-06-30,H8NY15098,1988
"STRANIERE, ROBERT A.",H,House,REP,REPUBLICAN PARTY,NY,13,13,{13},{2008},"{2008,2010,2012,2014}",P,O,Open seat,2009-04-03 21:41:21,2008-07-28,2008-07-28,2008-07-28,H8NY13127,2008
"GREEN, BILL",H,House,REP,REPUBLICAN PARTY,NY,14,14,"{18,15,15,15,15,15,14}","{1978,1982,1984,1986,1988,1990,1992}","{1978,1980,1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1978-01-11,1992-02-18,1992-02-18,H8NY18076,1992
"HIGGINS, THOMAS F",H,House,DEM,DEMOCRATIC PARTY,NY,30,30,{30},{1992},{1992},C,O,Open seat,2002-03-30 00:00:00,1992-07-07,1992-07-07,1992-07-07,H2NY30066,1992
"BAYONETA, LYDIA",H,House,UNK,UNKNOWN,NY,35,35,{35},{1980},{1980},C,,,2002-03-30 00:00:00,1980-10-15,1980-10-15,1980-10-15,H0NY35036,1980
"DEVITO, MICHAEL JR",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-12,2017-05-12,2017-05-12,H8NY11089,2018
"SALGADO, ERICK J",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2014},{2014},C,C,Challenger,2014-06-11 21:44:49,2014-03-20,2014-03-20,2014-03-20,H4NY11179,2014
"GALLAGHER, MICHAEL",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{2016},"{2016,2018}",P,O,Open seat,2017-02-23 14:47:46,2015-04-02,2015-04-02,2015-04-02,H6NY13097,2016
"BROOKS, TRACEY",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2008},"{2008,2010,2012}",P,O,Open seat,2008-04-21 22:55:05,2008-02-19,2008-03-17,2008-03-17,H8NY21146,2008
